file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
common_voice_sq_38022033-36-004,0.0,4.752,380220,-4.0131347368421055,-48.17917131372551,0.654714085623506
common_voice_sq_38022033-36-002,0.0,3.136,380220,-4.003648562300319,-46.736583457142856,0.808457893938687
common_voice_sq_38022033-36-008,0.0,4.12,380220,-4.813679611650485,-47.05291961538462,0.6192543749008222
common_voice_sq_38022033-36-006,0.0,4.888,380220,-3.894319672131148,-44.4764199,0.6614943888312219
common_voice_sw_38021900-04-010,0.0,2.848,380219,-4.0641971830985915,-44.68255685185186,0.4646097101225714
common_voice_sw_38021900-04-002,0.0,3.912,380219,-4.410291560102301,-52.25805964102565,0.9187495775281354
common_voice_sw_38021900-04-014,0.0,1.52,380219,-4.496955263157894,-51.273548700000006,1.0058752337272103
common_voice_sw_38021900-04-012,0.0,3.136,380219,-4.345629392971246,-49.546406971428574,0.7418402281957711
common_voice_sw_38021900-04-016,0.0,0.664,380219,-4.018924242424243,-48.790186500000004,2.2425811188925
common_voice_sw_38021900-04-006,0.0,4.064,380219,-5.359130541871921,-55.320314642857134,0.7106818231667698
common_voice_sw_38021900-04-004,0.0,3.0,380219,-4.543176666666667,-49.15773876190476,0.6621984886362748
common_voice_sw_38021900-04-008,0.0,1.792,380219,-4.50303407821229,-50.92905535294118,0.7712208590894241
common_voice_sq_38022135-39-010,0.0,7.07203125,380221,-3.737751060820368,-44.53972889705882,0.9345286845917116
common_voice_sq_38022135-39-008,0.0,5.23203125,380221,-4.063674952198853,-43.8363774,0.8987749468591509
common_voice_sq_38022135-39-002,0.0,6.352,380221,-4.484165354330709,-50.95257797959184,0.6970275064317873
common_voice_sq_38022135-39-006,0.0,3.61603125,380221,-4.273986149584488,-46.69323365217391,0.6027962300022984
common_voice_sq_38022135-39-004,0.0,5.47203125,380221,-4.195486288848263,-48.21339296551726,0.6293988845892247
