file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
common_voice_sq_38022033-36-006,0.0,4.888,380220,-3.8984877049180326,-44.4821357,0.6613987454475574
common_voice_sq_38022033-36-002,0.0,3.136,380220,-3.995865814696485,-46.75129934285713,0.795103187792335
common_voice_sq_38022033-36-008,0.0,4.12,380220,-4.81068932038835,-46.97369823076924,0.6152743790910178
common_voice_sq_38022033-36-004,0.0,4.752,380220,-4.007061052631579,-48.104937156862746,0.6776285826694682
common_voice_sw_38021900-04-006,0.0,4.064,380219,-5.3655566502463055,-55.176517928571435,0.6965790269765498
common_voice_sw_38021900-04-002,0.0,3.912,380219,-4.416140664961637,-52.401274410256406,0.9227032794881257
common_voice_sw_38021900-04-014,0.0,1.52,380219,-4.479598684210527,-51.271505000000005,1.009965132019637
common_voice_sw_38021900-04-012,0.0,3.136,380219,-4.343124600638977,-49.542814857142865,0.7412263500304807
common_voice_sw_38021900-04-010,0.0,2.848,380219,-4.092838028169014,-44.92847437037037,0.43716802556120526
common_voice_sw_38021900-04-008,0.0,1.792,380219,-4.508641899441341,-50.894857117647064,0.7716052871428803
common_voice_sw_38021900-04-016,0.0,0.664,380219,-4.013512121212121,-48.395144,2.2583552465738803
common_voice_sw_38021900-04-004,0.0,3.0,380219,-4.550833333333333,-49.39551290476191,0.6714109007955558
common_voice_sq_38022135-39-002,0.0,6.352,380221,-4.480666141732283,-50.94335563265307,0.6964735441862605
common_voice_sq_38022135-39-006,0.0,3.61603125,380221,-4.267883656509695,-46.68567417391306,0.6049606841888131
common_voice_sq_38022135-39-004,0.0,5.47203125,380221,-4.198418647166362,-48.25286100000001,0.6297078218746442
common_voice_sq_38022135-39-010,0.0,7.07203125,380221,-3.7386647807637905,-44.556390176470565,0.928002883717482
common_voice_sq_38022135-39-008,0.0,5.23203125,380221,-4.063875717017209,-43.986807850000005,0.9076333627870827
