time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,1812.6,473.9,2876.4,633.1,3433.2,237.5,1798.9,2852.8,3432.4,222.1,72.3,1
0.027000,1804.1,475.7,2789.3,673.1,3398.9,203.7,1793,2798.6,3407.7,222.9,72.6,0.9
0.029000,1736.0,507.5,2701.4,561.2,3371.6,197.9,1751.6,2728.8,3368,223.4,73.3,0.8
0.031000,1609.2,563.4,2654.1,372.2,3331.3,236.9,1646.1,2663.5,3317.2,223.8,74.6,1.1
0.033000,1449.1,677.4,2632.2,251.0,3262.1,310.6,1464.9,2616.3,3261.4,223.9,76.2,1.5
0.035000,1254.8,855.5,2607.8,183.2,3193.5,347.5,1221.9,2589.8,3208.2,223.8,77.9,2
0.037000,1031.4,1032.2,2580.9,139.6,3158.7,335.4,954.6,2576.7,3163.8,223.6,79.4,2.6
0.039000,687.2,1149.3,2557.1,111.1,3136.5,314.0,709.8,2566.5,3130.7,223.2,80.7,3.3
0.041000,435.4,513.2,2539.3,94.5,3114.0,289.5,526.4,2552,3106.7,222.7,81.8,4.2
0.043000,429.2,257.1,2526.5,88.2,3088.3,261.0,421.5,2532.3,3087,222,82.7,5.2
0.045000,424.3,155.1,2516.5,93.2,3064.2,237.9,387,2511.6,3067.1,221.2,83.3,6.2
0.047000,420.5,108.5,2504.6,109.7,3043.9,226.6,396.2,2494.1,3046.4,220.2,83.8,7
0.049000,415.1,87.2,2487.1,136.6,3029.1,228.3,416.5,2480.3,3029.3,219.2,84.1,7.6
0.051000,405.4,79.8,2464.2,166.4,3021.5,237.5,422.1,2466.3,3022.7,218,84.2,7.9
0.053000,388.2,83.1,2439.1,186.5,3027.3,245.8,401.9,2447,3031.6,216.7,84.3,8
0.055000,358.7,94.6,2413.4,187.1,3057.7,246.2,360.1,2420.5,3055.3,215.3,84.4,8.2
0.057000,319.2,102.3,2390.9,172.3,3099.6,238.2,311.1,2391.1,3085.8,213.7,84.5,8.5
0.059000,279.9,94.7,2373.7,161.0,3120.6,235.1,272.6,2367.5,3111.4,212.1,84.6,9.5
0.061000,254.0,79.0,2359.7,166.3,3102.3,239.9,258.1,2358.4,3121.4,210.3,84.8,10.7
