time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity
0.025000,510.2,205.0,1783.2,580.1,2286.6,290.8,496,1997.7,2397,316.6,77.1
0.027000,483.1,188.7,1914.6,794.8,2269.4,497.2,500.3,1985.7,2398.7,316.2,79.2
0.029000,486.0,190.8,2064.4,489.7,2519.4,872.1,507.1,1966.8,2401.2,315.7,81.2
0.031000,512.0,197.6,2036.6,461.8,2554.8,646.8,515.8,1942.2,2404,315.2,83
0.033000,536.4,194.0,1998.6,519.4,2496.6,562.2,525.8,1913.6,2406.7,314.6,84.4
0.035000,550.6,191.1,1950.7,573.2,2433.7,507.4,536.5,1883,2408.8,314,85.5
0.037000,559.1,188.8,1896.3,590.1,2380.9,467.4,547.1,1852.2,2409.9,313.3,86.3
0.039000,563.6,185.5,1846.7,581.7,2345.4,451.2,557.2,1823,2409.9,312.5,86.8
0.041000,567.2,180.5,1799.3,557.4,2332.5,446.6,566.3,1797.1,2409.2,311.6,87.1
0.043000,573.0,174.1,1752.8,514.0,2355.4,424.0,574.4,1775.6,2408,310.7,87.2
0.045000,580.0,169.4,1711.2,482.3,2399.7,363.8,581.4,1759,2407.3,309.8,87.1
0.047000,584.3,171.6,1682.0,502.5,2431.0,297.6,587.6,1747.8,2408,308.8,86.9
0.049000,586.3,182.5,1680.1,563.1,2441.1,258.6,593.5,1741.5,2411.4,307.7,86.7
0.051000,590.7,193.8,1716.9,552.4,2444.1,249.5,599.6,1739.6,2418.5,306.5,86.4
0.053000,599.8,199.1,1757.0,426.4,2452.4,247.6,606.5,1741.1,2430.5,305.4,86.2
0.055000,611.2,200.2,1772.9,290.8,2463.5,248.6,614.7,1745,2448.1,304.1,85.9
0.057000,624.3,202.1,1775.5,202.4,2477.4,266.1,624.7,1750.1,2471.8,302.9,85.8
0.059000,639.9,204.5,1773.9,151.9,2498.9,303.5,636.6,1755.3,2501.4,301.6,85.6
0.061000,658.1,201.7,1770.9,122.2,2529.5,349.2,650.6,1759.6,2536.4,300.2,85.6
0.063000,677.2,189.7,1766.2,104.5,2567.1,395.5,666.2,1762.1,2575.8,298.9,85.5
0.065000,692.1,175.4,1760.3,98.2,2606.3,441.1,683.2,1762.5,2617.9,297.5,85.5
0.067000,703.2,166.1,1754.3,102.2,2655.7,478.7,700.9,1760.2,2660.8,296.2,85.6
0.069000,713.3,163.2,1749.7,115.8,2708.3,463.3,718.5,1755,2702.5,294.8,85.7
0.071000,726.2,160.6,1746.2,138.6,2737.1,408.9,735.2,1746.9,2740.7,293.4,85.8
0.073000,742.9,153.5,1741.8,172.1,2752.9,370.4,750.2,1735.7,2773.5,292,85.9
0.075000,761.2,142.5,1733.9,220.7,2774.1,351.0,762.9,1721.5,2799,290.7,86.1
0.077000,775.6,132.1,1720.5,273.9,2799.8,341.6,772.8,1704.1,2816,289.3,86.2
0.079000,784.7,124.7,1699.6,321.1,2827.2,336.6,779.5,1683.2,2823.5,288,86.3
0.081000,787.7,122.9,1671.3,357.3,2852.7,340.4,783.1,1658.8,2821.5,286.7,86.5
0.083000,785.1,125.8,1630.3,387.9,2867.9,370.8,783.5,1630.6,2810,285.5,86.5
0.085000,778.4,128.1,1568.4,399.4,2847.5,463.9,781.3,1598.3,2790.1,284.2,86.6
0.087000,770.9,126.7,1505.2,368.0,2742.0,525.5,776.8,1561.9,2762.8,283,86.7
0.089000,764.6,125.1,1462.5,322.8,2669.5,453.0,770.7,1521.5,2730,281.9,86.7
0.091000,759.9,124.4,1438.2,290.1,2651.3,433.2,763.7,1477.6,2693.2,280.8,86.8
0.093000,755.8,123.1,1420.0,265.7,2652.2,479.0,756.4,1430.8,2654.3,279.7,86.8
0.095000,751.6,120.2,1402.6,249.5,2655.0,584.1,749.2,1382.2,2615.2,278.7,86.8
0.097000,747.1,115.3,1382.5,243.4,2622.7,702.8,742.6,1333.2,2577.3,277.7,86.8
0.099000,742.6,106.9,1355.6,244.2,2532.4,674.9,736.8,1285.4,2542.2,276.8,86.7
0.101000,738.5,96.6,1320.3,249.3,2458.8,492.0,732.1,1240.6,2511,275.9,86.6
0.103000,735.3,93.3,1283.2,275.0,2438.5,354.3,728.4,1200.7,2484.5,275,86.5
0.105000,732.4,101.6,1238.0,341.7,2441.8,294.0,725.7,1167.5,2463.3,274.2,86.4
0.107000,728.6,122.6,1168.2,446.8,2451.1,287.0,723.8,1142.5,2447.9,273.5,86.3
0.109000,720.5,159.4,1049.4,525.8,2463.8,313.0,722.8,1127,2438.6,272.8,86.2
0.111000,699.1,207.8,935.3,440.9,2485.7,357.9,722.4,1121.7,2435.5,272.2,86.2
