e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20
134.6,152.3,78.9,51.5,10045.6,10041.3,10036.1,10035.5,10038,10042.5,10052.1,10061.4,10080.9,10417.3,386.7,296.6,202,226,249.1,282.3
10226.4,10185.7,10144.9,10142.4,10131.1,10131.6,10219.4,10241.6,10283.1,10309.7,10343.2,10353.7,10356.4,10403.3,568.4,466.3,401,375,348.3,331.9
10081.7,10088.7,10085.5,10121.7,10102.2,10065.9,10078.2,10067.2,10052.3,10055.3,10039.2,10046.3,10330.2,362.3,105,88.8,73.9,69.4,84.3,261.7
10056.7,10045.3,10059.1,10071.5,10110.2,10081.6,10098.5,10121.1,10131.2,10515.2,502.9,373.6,305.8,375.9,106.8,107.5,102.3,102.7,151,224.8
10027,10028.8,10025.1,10021.3,10019,10019.6,10020.2,10026,10025.5,10028.4,25.4,31.4,47.6,10048,164.7,202.3,213.5,366.6,329.5,365.8
10046.1,10047,10053.9,10083.4,71.1,76.9,80.1,92.4,298.3,294.5,251.2,261.5,215.9,82.7,83.9,82.9,93.1,121.1,143.4,86.2
10054,10047.1,10043.2,10070.8,10273.5,10310.4,10219,10156.5,10187.4,10219.8,10242.2,286.6,179.2,426.9,289.3,226.9,190.9,110.5,68.8,223.8
10024,10021.9,10018.4,10037.5,10033.4,10223.4,176,95.8,142.1,227.2,180.1,245.5,222.2,267,126.6,67.8,49.9,54.8,72.7,118.1
10305.2,10317.8,181.9,208,55.5,43.1,42.9,45.1,41.1,38.6,40.8,49.8,92.8,368.7,473.2,275.1,310.8,140.8,154.2,178.9
10012.3,10016.8,10156.1,10184,137,126.2,122.9,178.3,168.9,241.7,443.5,534.6,231.5,179.6,73.5,70.1,75.4,83.5,67.9,82.8
10044.8,10051.7,10048.5,10026.2,10027.2,10030.7,10032,10037.1,10066.9,10477.2,249.9,201.6,171.6,155.8,173.9,218.6,297,364,387.4,411.6
10074.3,10030.7,10040.1,10036.9,10079,10094.6,10097.9,10106,10181.6,10099.8,10380.6,10404.3,232.8,292.3,241,55.7,41.3,39.2,32.5,38.1
10139.3,10167.2,10202.2,10188.7,172.7,136.4,127.4,151.1,126.6,117.2,170.4,399.5,667.2,302.9,104.9,162.5,120.5,100.6,102.5,114
10030.6,10066,10069.4,10014.2,25.3,8.3,9.4,8.7,7.3,7.1,5.4,10.6,31.5,191.5,15.4,13.8,16.6,11.8,8.5,6.4
10050.3,10043.7,10040.6,10300,10123.4,179.3,355.8,424.2,363.7,433.3,153.1,166.2,170.3,140.9,155.3,212.1,117.6,70.3,66.8,71.9
10049.9,10043.5,10038.8,10084.1,10107.9,10207.3,10175.5,10148.3,10217.2,10219.2,10274.9,10431.1,10167.4,10148.2,10126.1,10180.5,10271.1,10412.2,10369.9,10549.4
10165.3,10160.8,10184.7,10195.8,10204.7,10178.2,10140.1,10173.6,10470.4,10351.3,10256.1,10543,10276.9,10306.7,233.2,193.7,162.8,166.6,188.4,219.4
10073.7,10090.5,10218.5,10226.6,10198.3,10321.5,241.5,242.2,258.7,84.8,228.1,190.2,140.5,118.1,185.8,148.2,156.2,341.6,203.9,156.5
10106.3,10101.1,10107.3,10101.1,10131.5,10147.7,10092.4,10196.6,10246,177.7,207.7,197.8,199.7,155.8,165.6,127.7,119.2,181.8,301.2,144.8
10150.9,10049.8,10054.3,10036.2,45.8,46.5,48,117.1,18.8,13.5,21.3,219.3,225.3,128.5,138,153.8,138.1,162.7,153.1,240.6
10046.1,10049.7,10076.3,10073.6,10072.5,10073.7,10049.1,10064.5,10115.7,10207.4,10456.6,10442.2,10420.3,457.4,516.5,303.9,145,149.3,131.2,135.1
10171,10243.6,10115,10124.1,10113.1,10144.5,10139.4,10175.1,10192.2,10206.4,10157.3,10146.1,10199.6,192.7,236.1,258.6,108.5,113.1,460.4,419.1
10082,10130.9,10140.4,10126.6,138,244.2,326.5,434.4,300.3,296.9,288,286.1,280.6,301.8,314.3,198.2,249.6,77.6,65.6,78.9
10054.4,10042.2,10107.3,10108.8,10090.3,10165.2,10198.9,10222,10234.5,279.9,177.9,200.1,166.8,251.1,234.2,179.2,135.8,101.3,105.5,176.5
10025.4,10049.1,58.2,32.5,30.6,27.8,28,29.4,35.5,47.2,54.4,203,263.2,278.4,271,288.3,30.5,26.8,27.5,33.4
10256.5,10322.1,10139.4,10141.7,10167,437.6,240.3,172.8,189.6,191.9,157,140.7,160.3,190.4,213.3,268.2,270,416.7,288.6,367.9
10058.4,10052.2,10080.7,10066.4,10063.8,10074.1,10143.5,10186.1,10071.5,10070.9,10081.6,10076.7,10153,10117.4,10069,10059.1,10054.4,10055.6,10060.1,10066.2
10178.9,10133,10067.6,10070.3,10094.5,10157.6,10207.2,10325.3,10367.6,10296.6,10306.5,10300.5,10267.5,268.6,440.3,440,244.9,212,247.6,360.1
10013.7,10016.3,10018,10024.7,10235.7,10205.1,10201,10237.9,10296.8,132.5,67.9,54,38.9,43.8,50.5,70.5,267.2,240,264.3,43
