file,f0,duration,label,group,color,number,cutoff,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35
common_voice_sw_38021900-04-002_0001,259,0.098,ɑ,25,Magenta,1,3316,429,679,1747,602,809,1568,749,1032,1541,489,1042,1496,497,1054,1496
common_voice_sw_38021900-04-002_0002,218.6,0.37,ɑ,25,Magenta,2,5000,780,1562,2585,872,1454,1945,735,1700,2202,783,1540,2388,802,1707,2172
common_voice_sw_38021900-04-002_0003,257.3,0.086,ɑ,25,Magenta,3,4789,605,1773,2011,784,1694,2159,792,1780,2097,765,1752,2186,670,1739,2182
common_voice_sw_38021900-04-002_0004,252.4,0.07,i,19,Red,4,4684,413,1600,1782,561,1334,1790,672,1763,2327,640,1820,2421,682,1778,2566
common_voice_sw_38021900-04-002_0005,276.8,0.028,i,19,Red,5,4053,341,954,1679,359,928,1768,378,857,1761,335,558,1680,308,551,1570
common_voice_sw_38021900-04-002_0006,217.1,0.068,ɑ,25,Magenta,6,3421,449,1450,2377,458,833,2170,511,627,2052,578,600,1999,582,718,1726
common_voice_sw_38021900-04-002_0007,248.8,0.08,u,23,Olive,7,4895,445,696,2242,456,721,2213,491,769,2300,518,1013,2254,524,1075,2669
common_voice_sw_38021900-04-002_0008,239.9,0.04,ɑ,25,Magenta,8,4684,636,1929,2366,643,2251,2332,623,2319,2535,571,2382,2478,456,2328,2616
common_voice_sw_38021900-04-002_0009,220.1,0.034,i,19,Red,9,3947,292,1539,2236,329,1484,2505,388,1507,2538,431,1751,2485,374,1953,2344
common_voice_sw_38021900-04-002_0010,202.4,0.046,ɛ,28,Purple,10,4895,329,1856,2236,402,1817,2416,411,2130,2440,417,2266,2722,480,2187,2409
common_voice_sw_38021900-04-002_0011,198.1,0.06,ɔ,30,Navy,11,4368,383,1228,1650,568,1303,1766,586,1274,2557,578,1050,2061,242,652,1237
common_voice_sw_38021900-04-002_0012,198.6,0.06,ɑ,25,Magenta,12,4895,627,1689,2270,690,1773,2443,729,1779,2488,715,1779,2360,668,1799,2325
common_voice_sw_38021900-04-002_0013,251.5,0.074,i,19,Red,13,4789,834,2362,2703,327,2538,2705,470,2641,3283,500,2476,2864,501,2456,2540
common_voice_sw_38021900-04-002_0014,217.5,0.034,ɑ,25,Magenta,14,4053,454,677,2252,484,679,2208,500,666,2181,534,660,2169,626,649,2139
common_voice_sw_38021900-04-002_0015,185.7,0.066,ɑ,25,Magenta,15,4895,749,1971,2452,756,1898,2378,754,1774,2273,698,1594,2663,582,1442,2630
common_voice_sw_38021900-04-002_0016,205.6,0.13,ɔ,30,Navy,16,3211,438,648,886,384,613,853,364,611,832,299,595,818,240,627,812
common_voice_sw_38021900-04-002_0017,174.5,0.102,ɔ,30,Navy,17,4684,416,749,1475,490,858,1673,506,870,2624,495,867,2641,481,1111,2419
common_voice_sw_38021900-04-004_0001,246.6,0.058,ɑ,25,Magenta,18,3947,720,794,1235,725,1170,1451,743,1253,2017,740,1294,2126,725,1547,1852
common_voice_sw_38021900-04-004_0002,257.4,0.11,ɑ,25,Magenta,19,4684,574,1654,1953,821,965,1954,863,1124,2048,737,1468,2118,651,1917,2173
common_voice_sw_38021900-04-004_0003,171.3,0.038,i,19,Red,20,3947,858,2190,2712,606,2185,2557,379,1090,2165,360,1129,2182,354,1160,2191
common_voice_sw_38021900-04-004_0004,297.4,0.084,u,23,Olive,21,4895,362,1161,2601,448,981,3119,530,956,3312,534,868,3464,461,878,2379
