file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
common_voice_sw_38021900-04-002_0001,556.5,927.2,1571.4,-15.4,-191.9,110,-165.2,-84.5,48.9,-52.8,-13.8,31.5,52.7,6.6,22.9,16.7,-10,-1.9
common_voice_sw_38021900-04-002_0002,796.4,1540,2298,35,-116.3,105.6,2.3,-75.5,30.8,-64,-99.7,38.8,-113,-4.2,-188.2,-57.3,-215.1,-426.6
common_voice_sw_38021900-04-002_0003,727.9,1733.8,2128.4,-23.1,-25.3,-62,-97.5,-9.7,-12.7,-26.4,39,-31.3,-43.1,53.6,-49.9,-11,31.1,-27
common_voice_sw_38021900-04-002_0004,595.2,1673.1,2171.9,-120.7,-165.9,-415.7,-50.2,-17,-36.4,-28.2,108.4,-21,21.8,104.3,81.5,49.6,67.1,63.3
common_voice_sw_38021900-04-002_0005,345.5,773.3,1695.1,12.7,226,47.8,-29.2,-63.4,-80.2,5.1,-52.1,-3.5,0.6,16.4,-1.2,-8.2,-17.2,8.2
common_voice_sw_38021900-04-002_0006,512.5,882.4,2068.4,-82.2,376.3,291.4,2.3,276.7,-18.7,21.9,13.6,80,-11.1,-17,-18.9,-13.3,-74.7,-19
common_voice_sw_38021900-04-002_0007,484.8,853.8,2330.5,-48.4,-217.4,-147.8,-6.7,46.2,142.6,3.2,11.6,-110.5,-1.1,-32.1,134.4,-4.5,-4,-33.6
common_voice_sw_38021900-04-002_0008,584.8,2224.8,2472.6,87.3,-176.7,-120.6,-45.5,-148.7,1,11.1,-16.3,-15.5,-0.6,-46.5,63.3,-3,3,49.2
common_voice_sw_38021900-04-002_0009,363.9,1651.2,2418.3,-52.8,-218.2,-46.6,-33.7,116.3,-151.3,28.8,23.4,-33.1,-11.7,-25.9,-9.2,16.2,11.8,16.4
common_voice_sw_38021900-04-002_0010,407.2,2047.9,2445.4,-64.5,-220.3,-153.8,-8.2,-73.5,-74.2,-33.4,108.2,45.8,-12.7,17.9,-113.7,-5.3,-15.4,76.9
