inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0001,ɑ,3,0.098,0.116,0.214,k,m,0,kampala,2,0.079,0.973,-,city,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0002,ɑ,6,0.37,0.391,0.761,p,l,0,kampala,2,0.079,0.973,-,city,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0003,ɑ,8,0.086,0.887,0.973,l,s,0,kampala,2,0.079,0.973,-,city,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0004,i,10,0.0700000000000001,1.037,1.107,s,t,0,city,3,0.973,1.203,kampala,akuna,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0005,i,12,0.03,1.173,1.203,t,spn,0,city,3,0.973,1.203,kampala,akuna,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0006,ɑ,15,0.0700000000000001,1.911,1.981,dʒ,m,0,jamhuri,5,1.869,2.271,akuna,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0007,u,18,0.0820000000000003,2.131,2.213,h,ɾ,0,jamhuri,5,1.869,2.271,akuna,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,--,i,20,0.0299999999999998,2.241,2.271,ɾ,j,1,jamhuri,5,1.869,2.271,akuna,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0008,ɑ,22,0.0409999999999999,2.301,2.342,j,k,0,ya,6,2.271,2.342,jamhuri,kidemokrasia,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0009,i,24,0.036,2.427,2.463,k,ɗ,0,kidemokrasia,7,2.342,3.113,ya,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0010,ɛ,26,0.048,2.493,2.541,ɗ,m,0,kidemokrasia,7,2.342,3.113,ya,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0011,ɔ,28,0.0619999999999998,2.607,2.669,m,k,0,kidemokrasia,7,2.342,3.113,ya,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
common_voice_sw_38021900-04-002,common_voice_sw_38021900-04-002_0012,ɑ,31,0.0620000000000003,2.791,2.853,ɾ,s,0,kidemokrasia,7,2.342,3.113,ya,ya,kampala city akuna jamhuri ya kidemokrasia ya kongo
