time,f1,b1,f2,b2,f3,b3,f1p,f2p,f3p,f0,intensity,harmonicity
0.025000,527.2,482.5,2630.4,689.0,3956.4,269.4,559.7,2577.4,3934.3,151.8,60.1,6.1
0.027000,571.5,588.5,2506.7,484.5,3933.1,349.7,532,2556.2,3944,152.1,60.3,4.5
0.029000,530.4,697.1,2499.2,354.9,3929.8,371.5,492.3,2525.9,3954.6,152.3,61,2.8
0.031000,411.0,552.9,2498.9,290.9,3956.9,332.0,448.4,2492.4,3960.4,152.4,61.9,1.3
0.033000,379.1,339.1,2476.8,238.6,3972.2,290.4,407.7,2461.4,3957.7,152.6,63,0.7
0.035000,371.5,214.8,2443.1,171.3,3959.1,268.8,376.1,2436.8,3946.3,152.6,64.2,1.3
0.037000,368.6,155.6,2420.5,114.6,3928.2,235.0,356.1,2420.3,3930,152.7,65.3,3.4
0.039000,364.1,128.5,2409.8,80.3,3908.0,190.1,346.9,2410.7,3914.8,152.7,66.2,6.4
0.041000,357.3,117.6,2404.5,62.3,3900.9,165.2,345.8,2405.4,3905.3,152.8,67,9.4
0.043000,350.0,113.9,2398.9,51.2,3898.9,160.1,349.1,2401.5,3902.3,152.8,67.5,11.7
0.045000,346.0,113.1,2392.8,43.5,3902.5,163.8,353.7,2396.8,3900.8,152.8,67.8,12.7
0.047000,348.1,115.0,2388.3,37.8,3909.2,168.8,358.5,2390.5,3890.4,152.8,68,12.8
0.049000,355.6,122.9,2384.6,33.7,3829.2,3426.0,363.8,2383.1,3858.1,152.8,67.9,12.3
0.051000,367.2,132.0,2380.4,31.4,3807.1,2787.7,371.2,2376.2,3793.2,152.8,67.8,11.5
0.053000,384.5,132.1,2375.0,30.1,3704.0,2207.1,382.4,2370.9,3690.7,152.8,67.7,10.6
0.055000,406.5,119.6,2368.4,30.1,3551.3,1779.1,397.7,2367.2,3554.8,152.8,67.7,9.8
0.057000,427.2,102.6,2360.9,32.0,3380.9,1485.5,416.2,2364,3398.2,152.8,67.9,8.9
0.059000,441.8,86.9,2353.9,35.9,3230.3,1290.5,435.4,2358.9,3239.6,152.7,68.2,7.8
0.061000,450.1,73.9,2347.5,41.7,3114.6,1152.3,452.1,2349.7,3098.4,152.7,68.7,6.8
0.063000,455.4,61.8,2336.9,50.6,3006.0,991.7,463.7,2335,2989.5,152.6,69.3,6.1
0.065000,459.0,51.6,2318.0,61.3,2916.4,810.8,469.1,2315.4,2919.3,152.5,69.8,5.8
0.067000,461.5,46.7,2295.5,68.9,2870.5,689.2,469,2293.3,2884.6,152.4,70.2,6
0.069000,463.6,49.7,2275.5,74.3,2861.8,659.4,465.7,2272.8,2874.7,152.2,70.5,6.4
0.071000,466.3,60.5,2260.0,78.6,2873.5,701.5,462.1,2258.2,2876.2,151.9,70.6,6.9
0.073000,471.7,76.5,2246.6,80.0,2895.6,789.1,460.6,2253,2878.1,151.6,70.6,7
